model,class,auc,support
Logistic Regression,HIGH,0.9858,189
Logistic Regression,LOW,0.9734,19
Logistic Regression,MODERATE,0.9133,15
Logistic Regression,NO,0.9953,17
Logistic Regression,MACRO,0.967,240
Logistic Regression,WEIGHTED,0.981,240
Baseline LightGBM,HIGH,0.9871,189
Baseline LightGBM,LOW,0.9827,19
Baseline LightGBM,MODERATE,0.9185,15
Baseline LightGBM,NO,0.9889,17
Baseline LightGBM,MACRO,0.9693,240
Baseline LightGBM,WEIGHTED,0.9826,240
Tuned LightGBM,HIGH,0.9728,189
Tuned LightGBM,LOW,0.9875,19
Tuned LightGBM,MODERATE,0.9141,15
Tuned LightGBM,NO,0.9894,17
Tuned LightGBM,MACRO,0.9659,240
Tuned LightGBM,WEIGHTED,0.9714,240
Baseline XGBoost,HIGH,0.9744,189
Baseline XGBoost,LOW,0.9799,19
Baseline XGBoost,MODERATE,0.8973,15
Baseline XGBoost,NO,0.9872,17
Baseline XGBoost,MACRO,0.9597,240
Baseline XGBoost,WEIGHTED,0.9709,240
Tuned XGBoost,HIGH,0.9876,189
Tuned XGBoost,LOW,0.9832,19
Tuned XGBoost,MODERATE,0.948,15
Tuned XGBoost,NO,0.9916,17
Tuned XGBoost,MACRO,0.9776,240
Tuned XGBoost,WEIGHTED,0.985,240
